Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.7,85.3,87.8,..
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,44.3908605333639,50.6675157944854,52.5981705163589,..
Africa Western and Central,AFW,Access to electricity (% of population),EG.ELC.ACCS.ZS,51.2893740480215,57.0647374680747,58.8221662248088,..
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.5,100,100,..
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,45.6,51.1,55.5,..
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.9289963083413,91.6454299444509,92.1659179921314,..
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,98.4,..
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.2,99.5,99.5,..
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.7,99.6,99.6,..
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,40,57,59,..
Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.1,99.8,96.6,..
Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,70.1,76,80.2,..
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8,99.8,99.8,..
British Virgin Islands,VGB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.2,100,100,..
Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,17.6,21.7,34,..
Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,9.8,11.6,20.1,..
Cabo Verde,CPV,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.4,98.6,98.4,..
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,84,95,99.2,..
Cameroon,CMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,63.2,72,72,..
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Caribbean small states,CSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.3685903913769,99.168477538461,98.4281812533873,..
Cayman Islands,CYM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Central African Republic,CAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,14.3,17.6,18.2,..
Central Europe and the Baltics,CEB,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9480349626799,100,100,..
Chad,TCD,Access to electricity (% of population),EG.ELC.ACCS.ZS,8.4,12,13.4,..
Channel Islands,CHI,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,99,..
China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,..
Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.4,98.7,98.9,..
Comoros,COM,Access to electricity (% of population),EG.ELC.ACCS.ZS,83.3,89.8,91.7,..
"Congo, Dem. Rep.",COD,Access to electricity (% of population),EG.ELC.ACCS.ZS,19.1,22.1,22.5,..
"Congo, Rep.",COG,Access to electricity (% of population),EG.ELC.ACCS.ZS,47.7,51.3,53,..
Costa Rica,CRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,100,99.8,..
Cote d'Ivoire,CIV,Access to electricity (% of population),EG.ELC.ACCS.ZS,68.6,72.4,72.9,..
